--------
General Information:
Found 53092 rows in total across all CSV files.
Available models: Model, anthropic/claude-sonnet-4, deepseek/deepseek-chat-v3.1, google/gemini-2.5-pro, google/gemma-3-27b-it, meta-llama/llama-4-maverick, microsoft/phi-4, openai/gpt-5, openai/gpt-oss-120b, x-ai/grok-4-fast, human
Unique phrases evaluated: 7034
Unique dates evaluated: 251
Maximum number rows for a single model: 6892
--------
Average grade (global models only): -0.1826486598481851797437514051125617697834968566894531250000000000
Average grade (global models + human): -0.1822055373064289107709612380858743563294410705566406250000000000
 > Average grade for anthropic/claude-sonnet-4: -0.2572307692307692073008240640774602070450782775878906250000000000
 > Average grade for deepseek/deepseek-chat-v3.1: -0.4851293935882580177221257144992705434560775756835937500000000000
 > Average grade for google/gemini-2.5-pro: -0.2822689562029712662116764931852230802178382873535156250000000000
 > Average grade for google/gemma-3-27b-it: -0.1441514318071509537233509945508558303117752075195312500000000000
 > Average grade for meta-llama/llama-4-maverick: -0.0248291951341443085932159107187544577755033969879150390625000000
 > Average grade for microsoft/phi-4: -0.1157864190365641282598474504084151703864336013793945312500000000
 > Average grade for openai/gpt-5: -0.2145748987854250999784966325023560784757137298583984375000000000
 > Average grade for openai/gpt-oss-120b: -0.1160012574662055984120456741948146373033523559570312500000000000
 > Average grade for x-ai/grok-4-fast: -0.0415125359638306642984240113491978263482451438903808593750000000
 > Average grade for human: -0.0543478260869565202306752382810373092070221900939941406250000000
--------
Grade frequency (global models only): [-1]: 31394 [1]: 21697 
Grade frequency (global models + human): [-1]: 31491 [1]: 21784 
 > Grade frequency for anthropic/claude-sonnet-4: [-1]: 4086 [1]: 2414 
 > Grade frequency for deepseek/deepseek-chat-v3.1: [-1]: 3845 [1]: 1333 
 > Grade frequency for google/gemini-2.5-pro: [-1]: 3323 [1]: 1860 
 > Grade frequency for google/gemma-3-27b-it: [-1]: 3536 [1]: 2645 
 > Grade frequency for meta-llama/llama-4-maverick: [-1]: 3075 [1]: 2926 
 > Grade frequency for microsoft/phi-4: [-1]: 3845 [1]: 3047 
 > Grade frequency for openai/gpt-5: [-1]: 3600 [1]: 2328 
 > Grade frequency for openai/gpt-oss-120b: [-1]: 3550 [1]: 2812 
 > Grade frequency for x-ai/grok-4-fast: [-1]: 2534 [1]: 2332 
 > Grade frequency for human: [-1]: 97 [1]: 87 
--------
Standard Deviation (global models only): 0.9831875073543554499622132425429299473762512207031250000000000000
Standard Deviation (global models + human): 0.9832696933627210755801684172183740884065628051757812500000000000

 > Standard Deviation for anthropic/claude-sonnet-4: 0.9664243477786582658950464974623173475265502929687500000000000000
 > Standard Deviation for deepseek/deepseek-chat-v3.1: 0.8745268279167021097109113725309725850820541381835937500000000000
 > Standard Deviation for google/gemini-2.5-pro: 0.9594278693909605859602152122533880174160003662109375000000000000
 > Standard Deviation for google/gemma-3-27b-it: 0.9896356979238118967145965143572539091110229492187500000000000000
 > Standard Deviation for meta-llama/llama-4-maverick: 0.9997750121839924508648778100905474275350570678710937500000000000
 > Standard Deviation for microsoft/phi-4: 0.9933462017231674545669761755561921745538711547851562500000000000
 > Standard Deviation for openai/gpt-5: 0.9767899282783304437671745290572289377450942993164062500000000000
 > Standard Deviation for openai/gpt-oss-120b: 0.9933271368566852776993414408934768289327621459960937500000000000
 > Standard Deviation for x-ai/grok-4-fast: 0.9992406641953496260200040524068754166364669799804687500000000000
 > Standard Deviation for human: 1.0012465502123781835308591325883753597736358642578125000000000000
--------
95% Confidence Interval (global models only): (-0.1910118888706772155572366500564385205507278442382812500000000000, -0.1742854308256931439302661601686850190162658691406250000000000000)
95% Confidence Interval (global models + human): (-0.1905550093563775637672819129875279031693935394287109375000000000, -0.1738560652564802577746405631842208094894886016845703125000000000)
 > 95% Confidence Interval for anthropic/claude-sonnet-4: (-0.2807248942583214779133982119674328714609146118164062500000000000, -0.2337366442032169366882499161874875426292419433593750000000000000)
 > 95% Confidence Interval for deepseek/deepseek-chat-v3.1: (-0.5089493084497906938423739120480604469776153564453125000000000000, -0.4613094787267252860907262856926536187529563903808593750000000000)
 > 95% Confidence Interval for google/gemini-2.5-pro: (-0.3083887543419389087873128119099419564008712768554687500000000000, -0.2561491580640036236360401744605042040348052978515625000000000000)
 > 95% Confidence Interval for google/gemma-3-27b-it: (-0.1688228475598888556064025578962173312902450561523437500000000000, -0.1194800160544130379625116233910375740379095077514648437500000000)
 > 95% Confidence Interval for meta-llama/llama-4-maverick: (-0.0501244206515294651871350595229159807786345481872558593750000000, 0.0004660303832408480007032380854070652276277542114257812500000000)
 > 95% Confidence Interval for microsoft/phi-4: (-0.1392382141939794981677636087624705396592617034912109375000000000, -0.0923346238791487583519312920543598011136054992675781250000000000)
 > 95% Confidence Interval for openai/gpt-5: (-0.2394402825546035895598606657586060464382171630859375000000000000, -0.1897095150162466103971325992461061105132102966308593750000000000)
 > 95% Confidence Interval for openai/gpt-oss-120b: (-0.1404098961591412342286844250338617712259292602539062500000000000, -0.0915926187732699487176191155413107480853796005249023437500000000)
 > 95% Confidence Interval for x-ai/grok-4-fast: (-0.0695883358398000639866154415358323603868484497070312500000000000, -0.0134367360878612715491264850697916699573397636413574218750000000)
 > 95% Confidence Interval for human: (-0.1990184026398366112786675330426078289747238159179687500000000000, 0.0903227504659235846951048642949899658560752868652343750000000000)
--------
99% Confidence Interval (global models only): (-0.1936398058888002537969441618770360946655273437500000000000000000, -0.1716575138075701056905586483480874449014663696289062500000000000)
99% Confidence Interval (global models + human): (-0.1931786036204342915656440027305507101118564605712890625000000000, -0.1712324709924235299762784734411980025470256805419921875000000000)
 > 99% Confidence Interval for anthropic/claude-sonnet-4: (-0.2881072833833556723348578998411539942026138305664062500000000000, -0.2263542550781827422667902283137664198875427246093750000000000000)
 > 99% Confidence Interval for deepseek/deepseek-chat-v3.1: (-0.5164340681600075866342081098991911858320236206054687500000000000, -0.4538247190165084488100433190993499010801315307617187500000000000)
 > 99% Confidence Interval for google/gemini-2.5-pro: (-0.3165961897541140768197465149569325149059295654296875000000000000, -0.2479417226518284833591820870424271561205387115478515625000000000)
 > 99% Confidence Interval for google/gemma-3-27b-it: (-0.1765751682417025514304498301498824730515480041503906250000000000, -0.1117276953725993560162521589518291875720024108886718750000000000)
 > 99% Confidence Interval for meta-llama/llama-4-maverick: (-0.0580727565676717877307666526576213072985410690307617187500000000, 0.0084143662993831670748878792664982029236853122711181640625000000)
 > 99% Confidence Interval for microsoft/phi-4: (-0.1466073023098211358661302483596955426037311553955078125000000000, -0.0849655357633071206535646524571347981691360473632812500000000000)
 > 99% Confidence Interval for openai/gpt-5: (-0.2472535524044963683998332726332591846585273742675781250000000000, -0.1818962451663538315571599923714529722929000854492187500000000000)
 > 99% Confidence Interval for openai/gpt-oss-120b: (-0.1480796463044349309257086133584380149841308593750000000000000000, -0.0839228686279762658983827350311912596225738525390625000000000000)
 > 99% Confidence Interval for x-ai/grok-4-fast: (-0.0784103915425736486266572455861023627221584320068359375000000000, -0.0046146803850876869090846810195216676220297813415527343750000000)
 > 99% Confidence Interval for human: (-0.2444771924353245085015373661008197814226150512695312500000000000, 0.1357815402614114819179746973532019183039665222167968750000000000)
--------
Top 100 phrases with highest discordance (variance):
1. Discordance: 1.0000000000000000000000000000000000000000000000000000000000000000 | Count: 8 | Grades: [-1, -1, -1, -1, 1, 1, 1, 1] | Phrase: A soma da inflação acumulada até fevereiro mais o aumento esperado de preços administrados ao longo do ano atinge 2, 4%, o que representa 60% da meta estabelecida. | 21/03/2001
30. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: O IPC-FIPE apresentou queda acumulada de 1, 26% até o mês de setembro e, em doze meses registrou variação de 0, 05%, refletindo a continuidade das quedas de preços do feijão, vestuário, veículos, utensílios domésticos, eletroeletrônicos e cama/mesa/banho, o que resultou em taxa de variação anual negativa dos preços dos produtos comercializáveis em setembro (0, 82%). | 07/10/1998
31. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: A curva do cupom cambial registrada no dia 6 de outubro apresentava ligeira elevação no curto prazo e redução a partir de dois meses, refletindo a expectativa de redução das taxas de juros e de desvalorização da taxa de câmbio. | 07/10/1998
32. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: O período iniciado a partir da última reunião ordinária do COPOM foi marcado pelo aprofundamento do processo de perda de reservas internacionais e pela queda dos preços dos ativos financeiros do Brasil negociados nos mercados domésticos e externo. | 07/10/1998
33. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Em 10 de setembro, o COPOM, reunido extraordinariamente, decidiu elevar a TBAN de 29, 75%   para 49, 75%   Por meio da atuação do Banco Central no mercado aberto, apesar da continuidade da situação de deficiência de reservas bancárias, a Taxa Referencial do SELIC foi mantida em 39, 75%   até o dia 18 de setembro. | 07/10/1998
34. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Enquanto o Índice da Associação Nacional dos Gerentes de Compras (NAPM), os indicadores de criação de empregos e o índice de confiança da população ( apontavam, em conjunto, para o arrefecimento da atividade, observou-se o crescimento do PIB, no terceiro trimestre, acima das expectativas e o aumento do custo da mão-de-obra e de compras de bens duráveis. | 11/11/1998
35. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Nessas intervenções foi mantido o procedimento, iniciado em 21 de setembro, de elevação das taxas de juros ao ritmo de 0, 10 ponto percentual ao dia, visando desestimular a remessa de divisas para o exterior, em particular dos residentes. | 11/11/1998
36. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Com referência ao mercado futuro de Depósitos Interfinanceiros na Bolsa de Mercadorias e Futuros (BM&amp; F), as cotações projetam queda gradual das taxas de juros até o final do ano. | 11/11/1998
37. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Registre-se a expectativa de continuidade da desaceleração dos indicadores de investimento, haja vista o corte anunciado dos investimentos públicos e a elevação da Taxa de Juros de Longo Prazo (TJLP), de 11% para 18%, a vigorar entre dezembro de 1998 e fevereiro de 1999. | 16/12/1998
38. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Apesar de vir registrando redução desde outubro, a manutenção desse expressivo (0, 85   ) apontaria para restrições de liquidez no mercado financeiro ( ). | 16/12/1998
39. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: O citou em seu comunicado que, com a redução de 0, 75   dos ocorrida desde setembro, a economia norte-americana tende a se expandir sustentadamente, com taxas de inflação sob controle. | 16/12/1998
40. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Com a iminente unificação monetária de parte da Europa, as atenções concentram-se na zona do euro ( ), na qual o fato mais relevante do período foi a ação coordenada, em 3 de dezembro, de todos os bancos centrais dos 11 países da, que reduziram suas taxas de juros. | 16/12/1998
41. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Nesse sentido, considerando-se as taxas de juros baixas, tanto nominais quanto reais, tanto de curto como de longo prazos, a percepção é de que as condições monetárias da favorecem a expansão econômica. | 16/12/1998
42. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Destaque-se a ocorrência de comentários pessimistas em relação à economia brasileira, entre eles, o da Agência, em 17 de novembro, de que o plano de ajuste brasileiro teria apenas 30% de chance de êxito. | 16/12/1998
43. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Os contratos futuros de Depósitos Interfinanceiros (DI) negociados na BM&amp; F projetavam, até 25 de novembro, tendência de queda das taxas de juros. | 16/12/1998
44. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Nesse sentido, a distensão da política monetária, ainda que considerando a baixa elasticidade dos capitais de longo prazo ao diferencial de taxas de juros interna e externa, poderia deteriorar ainda mais as expectativas dos investidores remanescentes. | 16/12/1998
45. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Objetivou-se examinar as alternativas de política monetária com o intuito de conter o possível aumento dos preços decorrente da desvalorização cambial já observada e o risco desta extrapolar parâmetro aceitável Analisou-se, também, a evolução recente e as perspectivas da economia brasileira e da economia internacional. | 18/01/1999
46. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Entretanto, poderia haver problemas futuros no que diz respeito ao aumento da inadimplência, pois parte do segmento produtivo não teria condições de honrar seus compromissos atrelados à variação da taxa de câmbio caso não tenham efetuado operações de. | 18/01/1999
47. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Após uma elevação inicial da Taxa SELIC, serão determinados movimentos ascendentes, caso ocorram desvalorizações adicionais do real, com o objetivo de reduzir o. | 18/01/1999
48. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Essa elevação foi causada pela alta tanto dos preços dos produtos industriais (5, 26%) quanto dos agrícolas (6, 99%), como reflexo da desvalorização cambial. | 04/03/1999
49. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: A vantagem de adoção do viés consistia em sinalizar que, se confirmadas as expectativas do COPOM quanto à evolução da economia, haveria condições de se reduzir a taxa de juros. | 04/03/1999
50. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: O nível da taxa de juros tinha que ser suficientemente alto para fazer frente às pressões inflacionarias existentes, que, como se viu, são de origem cambial. | 04/03/1999
51. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: A introdução desse viés se justifica pelo fato de o problema inflacionário de curto prazo no Brasil ter como origem a excessiva desvalorização cambial. | 04/03/1999
52. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: A redução do Índice de Preços por Atacado Oferta Global-IPA-OG em março para 2, 84% (6, 99% no mês de fevereiro) deveu-se à desaceleração do aumento dos preços agrícolas e dos preços industriais, reflexo do esgotamento dos ajustes provocados pela desvalorização cambial. | 14/04/1999
53. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Recentemente o diferencial ( entre os (títulos do tesouro norte-americano indexado à inflação) e o bônus norte-americano de 30 anos diminuiu, projetando uma queda da inflação para o futuro próximo. | 14/04/1999
54. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: De um modo geral, espera-se que a inflação continue baixa no futuro próximo, mesmo a despeito da perspectiva de aumento sustentado do preço do petróleo. | 14/04/1999
55. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: As LTN tiveram uma considerável receptividade entre os participantes do mercado, uma vez que as expectativas de inflação, juros e taxa de câmbio haviam sido revistas para baixo no final de março, o que tornou viável projetar uma estrutura a termo de taxa de juros com maior definição. | 14/04/1999
56. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: No primeiro leilão realizado, em 23 de março, o volume de propostas superou em muito a oferta previamente anunciada e a taxa média resultante foi de 42, 56%, inferior aos juros prevalecentes no mercado interbancário na ocasião, reforçando as expectativas de implementação do viés de redução da meta para a Taxa SELIC. | 14/04/1999
57. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Esta posição se fortalece não só pelo viés de redução estabelecido na última reunião do COPOM, mas, sobretudo, pelas expectativas de queda quanto aos níveis de inflação, que por sua vez podem ser associadas à reversão da trajetória de desvalorização do real. | 14/04/1999
58. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Os sinais de arrefecimento dos índices de preços e a evolução favorável dos fluxos de capitais e, conseqüentemente, da taxa de câmbio, que apresentou valorização, permitiu a aplicação do viés, reduzindo a meta para a Taxa SELIC de 45%   para 39, 5%   desde a última reunião realizada em 4 de março. | 14/04/1999
59. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Esse quadro favorável impactou de forma expressiva as expectativas inflacionárias, que foram sistematicamente revisadas para níveis inferiores desde a última reunião. | 14/04/1999
60. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: A evolução positiva da conjuntura interna e a estabilidade do cenário externo favorecem a decisão de manter-se o movimento descendente das taxas de juros, com vistas principalmente a ajustar a taxa nominal à reversão da trajetória de preços. | 14/04/1999
61. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: O adotou um viés de alta para as taxas de juros após os últimos números de inflação e anunciou que está preparado para aumentar as taxas se a economia americana continuar aquecida. | 19/05/1999
62. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: O diferencial ( ) entre as taxas internas de retorno do bônus de 30 anos e os TIPS (título do tesouro norte-americano indexado à inflação) foi reduzido, o que pode ser interpretado como uma redução das expectativas de inflação para o longo prazo. | 19/05/1999
63. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Por sua vez, a rentabilidade das operações com prazo de 180 dias caiu de 28, 13% para 22, 05%   Já para prazos superiores a 180 dias, a curva sofre uma inflexão, o que reflete um maior prêmio de risco em função da incerteza quanto ao cenário econômico. | 19/05/1999
64. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: As expectativas de trajetória de inflação dos agentes de mercado apresentavam pouca dispersão, indicando a formação do consenso de que a tendência decrescente era consistente. | 19/05/1999
65. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Apesar do maior ingresso de capitais, a piora nas cotações dos títulos da dívida externa brasileira, superior à deterioração do Índice dos Bônus dos Mercados Emergentes, demonstrava que o cenário de incertezas ainda não se dissipara. | 19/05/1999
66. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: No ambiente externo, o principal destaque era a fragilidade de alguns países emergentes fazendo com que a adoção do viés ascendente pelo banco central norte-americano afetasse suas economias e refletisse na economia brasileira. | 19/05/1999
67. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Desde fevereiro, o IPCA tem se elevado mais intensamente na região Sul, em razão do aumento da demanda por parte dos países limítrofes após a desvalorização cambial. | 23/06/1999
68. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: O mercado futuro de juros em euro da LIFFE ( ) projeta um aumento dos juros básicos de 25 pontos base até o final do ano e outro aumento de 25 pontos base no terceiro trimestre de 2000, como reação à elevação esperada da inflação do patamar de 1% para 1, 5% ao ano. | 23/06/1999
69. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: A relação entre a remuneração até o vencimento dos IDU´s e o "cupom cambial" de 1 ano elevou-se desde a última quinzena de maio, refletindo uma maior percepção de risco para os papéis brasileiros. | 23/06/1999
70. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Considerando a participação do grupo alimentação nos índices de preços, o choque de oferta agrícola favorável proporcionou uma redução imprevista de cerca de um ponto percentual na inflação ao consumidor do segundo trimestre deste ano. | 23/06/1999
71. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Em contraposição, os reajustes de preços administrados, incluídos os combustíveis, as tarifas telefônicas e de energia elétrica, têm produzido choque de oferta negativo. | 23/06/1999
72. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: A divulgação do índice de preços ao consumidor de abril acima do esperado, em função do aumento do petróleo e dos seus derivados, bem como os níveis historicamente baixos de desemprego e os altos preços de ações e cotas de fundos mútuos de investimento, podem fundamentar uma reação da autoridade monetária norte-americana para o uso do viés de alta e conseqüente elevação das taxas de juros básicas. | 23/06/1999
73. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: No processo de formação de expectativas da meta para a Taxa SELIC, os participantes de mercado consideram a desvalorização expressiva experimentada pelo real recentemente e as perspectivas de uma elevação nas taxas de juros norte-americanas. | 23/06/1999
74. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Em resumo, relativamente ao cenário macroeconômico interno, constatou-se que os indicadores referentes à inflação e ao nível de atividade se apresentavam melhores que aqueles apontados na última reunião do COPOM, e as perspectivas de desempenho na área fiscal não se haviam alterado. | 23/06/1999
75. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Apesar disso, as expectativas de inflação do mercado (IPCA) estão ligeiramente menores do que as captadas ao final de junho. | 28/07/1999
76. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Houve forte concentração de pagamentos externos no primeiro semestre, que não se repetirá no segundo, ajudando a reduzir pressões sobre a taxa de câmbio e, por conseqüência, sobre a inflação. | 28/07/1999
77. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Dos exercícios de simulação, conclui-se que haveria espaço para reduzir a taxa de juros sem comprometer as metas para a inflação para 1999, 2000 e 2001, mesmo levando em conta as incertezas consideráveis que persistem no ambiente externo. | 28/07/1999
78. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Para os participantes do mercado, isso ocorreu pelas seguintes razões: (1) contínua e significativa desvalorização da moeda; (2) ligeira mudança no patamar da inflação esperada; (3) proximidade do patamar percebido como "piso" por alguns segmentos do mercado; (4) expectativa de elevação da taxa de juros nos Estados Unidos; e (5) percepção de aumento do risco associado aos países da emergentes. | 28/07/1999
79. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Dado que os indicadores de inflação e da política fiscal são favoráveis e não houve mudança substancial no cenário externo, a decisão do COPOM foi de reduzir a taxa básica de juros de 21%   para 19, 5%, sem indicação de viés. | 28/07/1999
80. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Dos exercícios de simulação, conclui-se que, nos cenários mais prováveis, a manutenção da taxa de juros no nível atual de 19, 5%   permite atingir com folga as metas para a inflação em 1999, 2000 e 2001. | 01/09/1999
81. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: Este sentimento era fortalecido, entre outros, pelos seguintes fatores: (1) desvalorização contínua e significativa da moeda nacional; (2) mudança no patamar da inflação esperada; (3) proximidade do patamar de taxa de juros percebido como "piso" por alguns segmentos do mercado; (4) expectativa de elevação da taxa de juros nos Estados Unidos; e (5) percepção de instabilidade política e econômica na América Latina. | 01/09/1999
82. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: Passadas cinco semanas da última reunião do COPOM, verifica-se que, apesar da recente desvalorização cambial observada, o comportamento esperado da inflação no curto prazo é de recuo. | 01/09/1999
83. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: O eventual repasse de variações da taxa de câmbio nominal para os preços internos constitui-se em área de especial atenção. | 01/09/1999
84. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [1, 1, 1, 1, 1, 1, 1, 1, 1] | Phrase: A área do euro apresenta indicadores favoráveis, com sinais de recuperação econômica consistente, em cenário de inflação controlada. | 22/09/1999
85. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: O Banco Central da Inglaterra assumiu postura preventiva e elevou a taxa de juros interbancária em 0, 25 ponto percentual, para 5, 25%, na reunião de 8 de setembro. | 22/09/1999
86. Discordance: 0.0000000000000000000000000000000000000000000000000000000000000000 | Count: 9 | Grades: [-1, -1, -1, -1, -1, -1, -1, -1, -1] | Phrase: No Canadá, observa-se elevado nível de demanda agregada, com pressões no mercado de mão-de-obra e no nível de utilização da capacidade instalada, sugerindo possível elevação dos juros no curto prazo. | 22/09/1999
